===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2020-03-09 20:03:47
count workspace : /home/sulaiman/Desktop/playnows/playnows-server
total files : 176
total code lines : 7947
total comment lines : 812
total blank lines : 868

.editorconfig, code is 10, comment is 0, blank is 2.
.env, code is 24, comment is 0, blank is 0.
.env.example, code is 24, comment is 0, blank is 0.
.eslintignore, code is 4, comment is 0, blank is 0.
.eslintrc, code is 38, comment is 0, blank is 2.
.github/workflows/deploy.yml, code is 25, comment is 0, blank is 0.
.gitignore, code is 20, comment is 0, blank is 1.
.migrate, code is 10, comment is 0, blank is 0.
.prettierignore, code is 4, comment is 0, blank is 0.
.prettierrc, code is 13, comment is 0, blank is 0.
__tests__/abc.js, code is 33, comment is 9, blank is 9.
src/api/index.js, code is 4, comment is 1, blank is 2.
src/api/private/health/check.js, code is 19, comment is 0, blank is 2.
src/api/private/health/index.js, code is 3, comment is 0, blank is 2.
src/api/private/index.js, code is 3, comment is 0, blank is 2.
src/api/public/channels/addChannel.js, code is 62, comment is 1, blank is 9.
src/api/public/channels/addRoom.js, code is 90, comment is 1, blank is 13.
src/api/public/channels/deleteChannel.js, code is 45, comment is 1, blank is 6.
src/api/public/channels/getChannel.js, code is 64, comment is 2, blank is 6.
src/api/public/channels/index.js, code is 10, comment is 0, blank is 2.
src/api/public/channels/inviteFriends.js, code is 70, comment is 14, blank is 10.
src/api/public/channels/leaveRoom.js, code is 76, comment is 1, blank is 12.
src/api/public/channels/updateChannel.js, code is 86, comment is 1, blank is 9.
src/api/public/channels/updateRoom.js, code is 53, comment is 1, blank is 5.
src/api/public/comments/addComment.js, code is 50, comment is 1, blank is 6.
src/api/public/comments/deleteComment.js, code is 0, comment is 0, blank is 0.
src/api/public/comments/getComments.js, code is 37, comment is 1, blank is 3.
src/api/public/comments/index.js, code is 4, comment is 1, blank is 2.
src/api/public/index.js, code is 12, comment is 0, blank is 2.
src/api/public/likes/addLike.js, code is 62, comment is 5, blank is 6.
src/api/public/likes/deleteLike.js, code is 62, comment is 5, blank is 6.
